person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,OTHER_DEBT,TIME_WITH_BANK,LOAN_PERIOD in days,,
23,18000,RENT,0,HOMEIMPROVEMENT,A,3200,,1,0.18,N,4,92502.65903,2,925,,
23,29000,MORTGAGE,7,PERSONAL,A,6000,7.88,1,0.21,N,2,60201.05503,2,602,,
21,35000,MORTGAGE,5,DEBTCONSOLIDATION,A,13650,7.51,0,0.39,N,4,29297.20518,9,292,,
22,18996,RENT,3,EDUCATION,D,3200,15.28,1,0.17,Y,3,97698.52846,2,976,,
23,20000,RENT,1,PERSONAL,A,3200,7.14,0,0.16,N,4,49667.56507,5,496,,
23,20000,RENT,0,VENTURE,E,3200,16,1,0.16,N,2,80170.73751,7,801,,
23,20800,RENT,4,EDUCATION,D,3200,14.84,0,0.15,N,2,37842.57159,9,378,,
23,22000,RENT,2,MEDICAL,B,3200,12.69,0,0.15,N,4,12748.44971,4,127,,
25,23040,RENT,0,DEBTCONSOLIDATION,C,3200,14.79,0,0.14,N,2,85421.60718,6,854,,
24,35000,MORTGAGE,2,EDUCATION,B,8000,11.86,0,0.23,N,3,73472.96914,2,734,,
21,24000,RENT,3,DEBTCONSOLIDATION,C,3200,13.57,0,0.13,N,4,17240.61294,8,172,,
26,35000,MORTGAGE,10,VENTURE,A,6000,7.51,0,0.17,N,4,22512.51227,8,225,,
24,25000,RENT,6,DEBTCONSOLIDATION,C,3200,13.11,1,0.13,N,4,47478.26269,5,474,,
25,27600,RENT,2,VENTURE,B,3200,12.21,0,0.12,N,2,79627.28331,1,796,,
22,28000,RENT,3,EDUCATION,B,3200,10.59,0,0.11,N,2,96587.44262,9,965,,
21,30000,RENT,6,PERSONAL,A,3200,,0,0.11,N,2,38388.13207,8,383,,
25,30000,RENT,0,MEDICAL,C,3200,13.99,0,0.11,N,2,50240.84978,6,502,,
26,30000,RENT,2,DEBTCONSOLIDATION,B,3200,,0,0.11,N,3,46546.91988,6,465,,
21,30000,RENT,3,MEDICAL,B,3200,11.14,0,0.11,N,3,46185.99336,8,461,,
25,30000,RENT,2,MEDICAL,A,3200,8,0,0.11,N,4,89427.27008,7,894,,
24,35000,MORTGAGE,2,MEDICAL,A,2950,,0,0.08,N,4,13119.422,5,131,,
23,31000,RENT,3,EDUCATION,B,3200,11.49,0,0.1,N,4,35512.49805,4,355,,
23,31200,RENT,0,EDUCATION,C,3200,13.49,0,0.1,Y,4,8698.716794,1,869,,
22,31200,RENT,1,VENTURE,B,3200,11.99,0,0.1,N,2,37041.82134,5,370,,
22,32000,RENT,0,PERSONAL,B,3200,10.2,0,0.1,N,3,93135.364,6,931,,
25,33000,RENT,9,MEDICAL,A,3200,5.42,0,0.1,N,4,4648.624691,7,464,,
24,29000,MORTGAGE,8,PERSONAL,B,1450,,1,0.05,N,4,2759.011778,6,275,,
25,29004,RENT,0,HOMEIMPROVEMENT,D,3200,17.49,1,0.11,Y,2,93590.60996,3,935,,
26,35000,MORTGAGE,1,VENTURE,A,3000,6.76,0,0.09,N,3,27519.00432,3,275,,
22,30000,RENT,,DEBTCONSOLIDATION,D,3200,15.62,1,0.11,Y,4,27513.52246,1,275,,
21,31000,RENT,5,DEBTCONSOLIDATION,B,3200,10.37,1,0.1,N,3,59105.62543,6,591,,
22,37440,RENT,1,EDUCATION,C,3200,13.04,0,0.09,Y,2,1218.497912,5,121,,
26,38400,RENT,7,PERSONAL,C,3200,13.49,0,0.08,N,2,33232.19201,1,332,,
25,33000,RENT,,HOMEIMPROVEMENT,C,3200,12.99,1,0.1,Y,2,73208.88814,1,732,,
24,41745,RENT,2,PERSONAL,A,3200,9.63,0,0.08,N,3,77250.43463,2,772,,
22,42500,RENT,7,EDUCATION,A,3200,7.49,0,0.08,N,4,59115.19256,4,591,,
26,43200,RENT,5,EDUCATION,C,3200,14.35,0,0.07,Y,4,81631.18676,2,816,,
24,44000,RENT,1,MEDICAL,A,3200,8,0,0.07,N,2,89371.83922,7,893,,
22,44568,RENT,3,PERSONAL,B,3200,,0,0.07,N,4,99641.70381,9,996,,
21,45000,RENT,3,PERSONAL,A,3200,6.54,0,0.07,N,4,14148.23819,2,141,,
22,35000,MORTGAGE,6,EDUCATION,C,7500,13.92,0,0.21,N,3,57338.37016,4,573,,
23,45240,RENT,4,VENTURE,A,3200,7.37,0,0.07,N,3,58033.92056,1,580,,
26,29000,MORTGAGE,1,HOMEIMPROVEMENT,B,11200,11.14,1,0.39,N,4,59234.79214,1,592,,
25,42000,RENT,3,MEDICAL,D,3200,15.7,1,0.08,Y,2,97544.29122,3,975,,
23,49200,RENT,4,MEDICAL,C,3200,13.48,0,0.07,Y,3,99467.96399,7,994,,
22,50000,RENT,1,VENTURE,A,3200,8.49,0,0.06,N,4,80513.82854,9,805,,
22,51000,RENT,2,EDUCATION,B,3200,10.99,0,0.06,N,2,96448.70136,8,964,,
23,35000,MORTGAGE,6,EDUCATION,B,8400,12.18,0,0.24,N,3,75929.53946,6,759,,
25,48000,RENT,0,EDUCATION,F,3200,,1,0.07,Y,4,11966.01489,2,119,,
24,54731,RENT,2,DEBTCONSOLIDATION,B,3200,11.83,0,0.06,N,2,10441.6321,2,104,,
23,35000,MORTGAGE,7,EDUCATION,F,15000,18.43,0,0.43,Y,2,96206.92925,2,962,,
23,35000,OTHER,0,PERSONAL,B,12800,11.83,1,0.37,N,2,95147.41559,8,951,,
26,55000,RENT,1,EDUCATION,A,3200,8.49,0,0.06,N,3,65142.2432,5,651,,
22,35000,MORTGAGE,6,EDUCATION,B,3500,11.48,0,0.1,N,4,72840.38661,1,728,,
24,58000,RENT,2,VENTURE,C,3200,14.35,0,0.06,N,2,58747.55967,2,587,,
22,60000,RENT,6,MEDICAL,B,3200,11.71,0,0.05,N,2,15665.6459,6,156,,
22,54000,RENT,5,HOMEIMPROVEMENT,D,3200,16.49,1,0.06,Y,4,29158.06761,8,291,,
24,60000,RENT,3,DEBTCONSOLIDATION,A,3200,7.14,0,0.05,N,3,46227.32809,9,462,,
26,61200,RENT,9,PERSONAL,B,3200,9.91,0,0.05,N,2,64995.2713,6,649,,
26,35000,MORTGAGE,1,EDUCATION,D,5000,14.42,0,0.14,Y,2,96178.6702,7,961,,
26,65000,RENT,5,DEBTCONSOLIDATION,B,3200,11.71,0,0.05,N,3,2955.696699,1,295,,
24,35000,MORTGAGE,3,PERSONAL,D,13000,14.74,0,0.37,N,3,76603.46181,5,766,,
24,59000,RENT,8,MEDICAL,C,3200,13.8,1,0.05,N,3,63207.26485,7,632,,
24,65004,RENT,0,HOMEIMPROVEMENT,B,3200,9.99,0,0.05,N,4,24930.36928,4,249,,
24,72000,RENT,8,PERSONAL,C,3200,13.92,0,0.04,N,3,82328.2693,9,823,,
22,75000,RENT,6,EDUCATION,C,3200,10.28,0,0.04,N,4,64274.75342,1,642,,
24,35000,OWN,1,VENTURE,E,3500,16,0,0.1,N,3,53909.30877,4,539,,
26,35000,MORTGAGE,1,PERSONAL,B,6000,12.21,0,0.17,N,4,64324.78592,7,643,,
25,78000,RENT,5,HOMEIMPROVEMENT,C,3200,12.99,0,0.04,Y,4,81359.01692,9,813,,
24,83000,RENT,3,HOMEIMPROVEMENT,A,3200,6.99,0,0.04,N,3,8978.783048,1,897,,
23,78000,RENT,3,EDUCATION,B,3200,10.99,1,0.04,N,3,10297.80057,7,102,,
21,85000,RENT,5,PERSONAL,B,3200,10.25,0,0.04,N,4,35313.14109,3,353,,
25,78000,RENT,2,HOMEIMPROVEMENT,D,3200,14.59,1,0.04,Y,3,31681.97074,8,316,,
21,35000,MORTGAGE,1,MEDICAL,A,4950,7.68,0,0.14,N,4,25462.76091,2,254,,
22,29000,OTHER,0,DEBTCONSOLIDATION,B,7500,10.08,1,0.26,N,4,26814.6688,3,268,,
22,35000,MORTGAGE,6,PERSONAL,C,7500,11.34,0,0.21,Y,2,28821.78191,3,288,,
22,10200,RENT,4,VENTURE,C,3250,,1,0.32,Y,2,2643.962312,4,264,,
21,12000,RENT,2,HOMEIMPROVEMENT,B,3250,9.99,1,0.27,N,2,67012.29553,4,670,,
21,35000,MORTGAGE,2,VENTURE,A,800,7.37,0,0.02,N,3,54680.32821,2,546,,
22,14400,RENT,6,PERSONAL,D,3250,16.29,1,0.23,N,4,5914.263781,9,591,,
24,16000,RENT,0,VENTURE,B,3250,12.42,1,0.2,N,4,15285.68613,5,152,,
22,17004,RENT,5,DEBTCONSOLIDATION,A,3250,6.91,1,0.19,N,2,10009.43259,5,100,,
23,18000,RENT,1,PERSONAL,C,3250,,1,0.18,Y,4,77040.73878,3,770,,
23,18000,RENT,1,VENTURE,C,3250,13.22,1,0.18,N,2,23001.69445,8,230,,
25,35000,MORTGAGE,1,HOMEIMPROVEMENT,D,5400,12.17,0,0.15,N,4,17736.33928,4,177,,
22,35004,OWN,3,VENTURE,A,3000,7.9,0,0.09,N,4,50623.5125,5,506,,
22,20400,RENT,5,MEDICAL,C,3250,14.26,1,0.16,Y,2,39054.64466,9,390,,
24,25000,RENT,3,EDUCATION,D,3250,13.67,0,0.13,N,4,48643.26565,7,486,,
22,35004,OWN,1,VENTURE,B,9000,10,0,0.26,N,2,15070.56556,3,150,,
26,28000,RENT,2,HOMEIMPROVEMENT,D,3250,14.59,1,0.12,N,4,7097.071812,1,709,,
24,35004,MORTGAGE,5,EDUCATION,A,7000,5.42,0,0.2,N,3,26192.04187,5,261,,
21,35004,OWN,5,VENTURE,B,1500,9.62,0,0.04,N,2,78988.36103,6,789,,
25,30000,RENT,0,DEBTCONSOLIDATION,A,3250,5.42,0,0.11,N,3,94674.26473,7,946,,
22,35000,RENT,0,EDUCATION,A,3250,6.54,0,0.09,N,3,36111.57873,1,361,,
24,39000,RENT,0,DEBTCONSOLIDATION,A,3250,8.94,1,0.08,N,2,6413.82874,3,641,,
21,35004,OWN,0,EDUCATION,D,3000,15.58,0,0.09,N,3,65827.14684,3,658,,
21,29004,MORTGAGE,3,EDUCATION,E,7400,17.56,1,0.26,N,3,91857.36659,5,918,,
24,35004,MORTGAGE,3,PERSONAL,A,9600,7.88,0,0.27,N,3,90584.16734,5,905,,
24,35004,OWN,8,DEBTCONSOLIDATION,D,8000,14.96,0,0.23,N,4,94576.38505,5,945,,
22,28956,RENT,2,VENTURE,A,3300,8.49,0,0.11,N,3,5680.476733,8,568,,
22,35004,OWN,0,MEDICAL,A,10000,7.51,0,0.29,N,4,5448.357912,5,544,,
24,33000,RENT,2,VENTURE,C,3300,12.99,0,0.1,N,4,41709.8615,1,417,,
26,33600,RENT,4,MEDICAL,D,3300,15.65,0,0.1,N,4,93630.56132,7,936,,
21,35004,MORTGAGE,1,VENTURE,A,3600,8,0,0.1,N,2,38117.57314,8,381,,
22,66000,RENT,0,VENTURE,C,3300,14.65,0,0.05,Y,2,74926.7753,1,749,,
21,70000,RENT,3,PERSONAL,C,3300,,0,0.05,N,4,67489.41106,3,674,,
21,90000,RENT,2,VENTURE,B,3300,11.71,0,0.04,N,4,85139.60862,2,851,,
24,35004,OTHER,6,MEDICAL,A,18225,9.63,1,0.52,N,3,20461.05413,2,204,,
25,37000,RENT,2,VENTURE,B,3325,11.49,0,0.09,N,3,569.062022,8,569,,
22,35004,MORTGAGE,0,VENTURE,B,8400,10.39,0,0.24,N,2,96768.42906,4,967,,
24,30000,RENT,2,DEBTCONSOLIDATION,C,3350,14.72,0,0.11,Y,2,808.8359801,2,808,,
25,36000,RENT,8,PERSONAL,A,3350,7.9,0,0.09,N,4,81537.2105,2,815,,
24,77300,RENT,4,PERSONAL,A,3350,,0,0.04,N,3,71283.37586,7,712,,
21,33000,RENT,5,VENTURE,C,3375,13.49,0,0.1,Y,3,56911.48294,3,569,,
25,11000,RENT,3,MEDICAL,B,3400,,1,0.31,N,2,17163.67617,9,171,,
23,24290,RENT,0,MEDICAL,A,3400,7.51,0,0.14,N,4,36668.60302,1,366,,
22,28404,RENT,7,EDUCATION,A,3400,8.94,0,0.12,N,3,92475.23923,2,924,,
25,35138,MORTGAGE,3,DEBTCONSOLIDATION,B,1000,,0,0.03,N,3,90158.63457,9,901,,
26,29000,RENT,0,HOMEIMPROVEMENT,D,3400,15.62,1,0.12,Y,4,11633.12295,7,116,,
23,40000,RENT,0,VENTURE,A,3400,6.92,0,0.09,N,3,22089.18838,7,220,,
23,51996,RENT,0,HOMEIMPROVEMENT,F,3400,17.58,1,0.07,N,4,28235.37214,9,282,,
22,29280,MORTGAGE,0,EDUCATION,C,12000,11.66,1,0.41,Y,3,26421.90828,4,264,,
23,35292,MORTGAGE,7,EDUCATION,A,2100,7.51,0,0.06,N,2,1625.36818,6,162,,
24,60000,RENT,5,HOMEIMPROVEMENT,D,3400,,0,0.06,N,2,44074.24155,2,440,,
23,80004,RENT,2,DEBTCONSOLIDATION,A,3400,8.49,0,0.04,N,3,47855.85879,1,478,,
23,35352,MORTGAGE,,EDUCATION,A,6500,5.42,0,0.18,N,2,18008.06784,3,180,,
25,29360,MORTGAGE,5,PERSONAL,B,8875,12.69,1,0.3,N,3,10446.77346,5,104,,
22,35360,MORTGAGE,6,EDUCATION,A,9600,5.99,0,0.27,N,4,50003.96439,8,500,,
24,114750,RENT,1,MEDICAL,B,3400,12.21,1,0.03,N,4,77420.40459,5,774,,
21,35360,MORTGAGE,2,EDUCATION,D,12250,15.31,0,0.35,N,4,32254.36621,2,322,,
25,35360,MORTGAGE,9,MEDICAL,A,10000,8.94,0,0.28,N,2,98524.78098,7,985,,
26,14000,RENT,8,HOMEIMPROVEMENT,B,3450,12.69,1,0.25,N,3,66599.72135,4,665,,
25,25000,RENT,5,HOMEIMPROVEMENT,B,3450,11.99,1,0.14,N,4,12903.37091,1,129,,
22,12000,RENT,1,EDUCATION,D,3500,15.65,1,0.29,Y,2,94567.03921,6,945,,
23,35375,MORTGAGE,7,DEBTCONSOLIDATION,A,5600,6.76,0,0.16,N,3,46012.62327,6,460,,
22,12996,RENT,2,MEDICAL,A,3500,8.59,1,0.27,N,4,61707.6965,4,617,,
21,13500,RENT,0,VENTURE,B,3500,9.96,1,0.26,N,2,79957.96224,2,799,,
21,15600,RENT,2,PERSONAL,D,3500,16.07,1,0.22,N,3,98251.25021,8,982,,
21,29400,MORTGAGE,0,MEDICAL,B,12000,11.83,1,0.41,N,4,35936.7279,4,359,,
22,17280,RENT,0,EDUCATION,D,3500,,1,0.2,Y,4,56180.73926,5,561,,
26,29400,MORTGAGE,4,MEDICAL,A,12000,9.32,1,0.41,N,4,78308.11103,1,783,,
22,18000,RENT,0,VENTURE,C,3500,13.48,1,0.19,Y,2,72835.4567,9,728,,
21,18456,RENT,2,MEDICAL,C,3500,13.35,1,0.19,Y,2,11198.09545,2,111,,
24,19000,RENT,4,MEDICAL,A,3500,7.88,1,0.18,N,2,5653.795854,1,565,,
22,20000,RENT,5,EDUCATION,C,3500,13.11,0,0.17,N,3,34004.94617,8,340,,
25,20000,RENT,0,VENTURE,C,3500,10.28,0,0.17,Y,2,65267.86221,6,652,,
23,35500,MORTGAGE,8,EDUCATION,A,9000,7.49,0,0.25,N,3,31940.91591,6,319,,
24,35500,MORTGAGE,,DEBTCONSOLIDATION,A,14500,,0,0.41,N,3,97077.81578,6,970,,
22,20400,RENT,1,VENTURE,A,3500,6.99,0,0.17,N,2,56965.30968,6,569,,
22,35500,MORTGAGE,0,EDUCATION,C,4000,12.53,0,0.11,N,2,51606.51469,6,516,,
23,35500,MORTGAGE,0,MEDICAL,C,3000,11.28,0,0.08,Y,3,45011.92856,3,450,,
22,21600,RENT,2,MEDICAL,D,3500,,1,0.16,N,2,3267.849253,5,326,,
21,21600,RENT,2,DEBTCONSOLIDATION,A,3500,7.51,0,0.16,N,2,73801.94138,9,738,,
22,22292,RENT,5,DEBTCONSOLIDATION,D,3500,16.49,1,0.16,N,3,49448.84964,3,494,,
22,29554,MORTGAGE,,DEBTCONSOLIDATION,A,5775,5.42,1,0.2,N,3,66947.83616,2,669,,
22,23000,RENT,3,DEBTCONSOLIDATION,B,3500,10.37,0,0.15,N,4,15156.48155,7,151,,
24,35640,MORTGAGE,1,DEBTCONSOLIDATION,C,10000,13.49,0,0.28,Y,3,19702.92566,9,197,,
24,24000,RENT,2,HOMEIMPROVEMENT,D,3500,15.65,1,0.15,Y,3,7506.065782,8,750,,
23,35808,MORTGAGE,3,EDUCATION,A,8700,7.51,0,0.24,N,2,50243.07496,9,502,,
26,24000,RENT,0,VENTURE,B,3500,10.71,0,0.15,N,4,45434.0681,7,454,,
22,24240,RENT,3,VENTURE,B,3500,9.99,0,0.14,N,3,64257.60513,3,642,,
22,35900,MORTGAGE,6,PERSONAL,C,6000,15.27,0,0.17,N,3,94799.62773,8,947,,
23,26000,RENT,0,DEBTCONSOLIDATION,A,3500,6.91,0,0.13,N,3,3317.051801,9,331,,
22,26400,RENT,1,EDUCATION,C,3500,15.27,0,0.13,N,3,16720.65376,1,167,,
21,26400,RENT,6,DEBTCONSOLIDATION,A,3500,8.49,1,0.13,N,3,58198.21809,9,581,,
22,36000,MORTGAGE,0,EDUCATION,C,11625,13.49,0,0.32,N,2,94543.66494,2,945,,
25,27600,RENT,,VENTURE,B,3500,10.99,0,0.13,N,4,22236.49435,4,222,,
22,28800,RENT,0,VENTURE,A,3500,,0,0.12,N,2,24023.10548,4,240,,
23,36000,MORTGAGE,7,EDUCATION,B,11300,12.69,0,0.31,N,2,55642.13453,4,556,,
21,30000,RENT,5,PERSONAL,A,3500,7.9,0,0.12,N,2,46153.99591,6,461,,
24,30000,RENT,0,MEDICAL,A,3500,5.99,0,0.12,N,2,67985.15029,3,679,,
22,30000,RENT,3,VENTURE,C,3500,14.22,1,0.12,N,4,67662.29543,8,676,,
22,30000,RENT,3,MEDICAL,C,3500,13.92,0,0.12,N,4,43194.4761,1,431,,
22,36000,MORTGAGE,6,PERSONAL,A,18500,7.9,0,0.51,N,4,24735.36905,2,247,,
26,30000,RENT,2,VENTURE,B,3500,,0,0.12,N,2,4495.983178,5,449,,
21,30000,RENT,0,VENTURE,A,3500,,0,0.12,N,4,6346.665245,7,634,,
25,31200,RENT,7,MEDICAL,A,3500,6.92,0,0.11,N,3,5398.517644,4,539,,
24,36000,MORTGAGE,2,VENTURE,B,5200,9.91,0,0.14,N,3,86954.28747,4,869,,
21,33000,RENT,0,MEDICAL,B,3500,11.71,0,0.11,N,4,62720.95027,8,627,,
26,33000,RENT,1,VENTURE,B,3500,10.25,0,0.11,N,2,17565.65874,3,175,,
22,34000,RENT,0,DEBTCONSOLIDATION,C,3500,14.27,0,0.1,Y,3,48766.57704,3,487,,
22,36000,MORTGAGE,4,MEDICAL,B,12000,11.71,0,0.33,N,2,50145.40061,7,501,,
25,36000,MORTGAGE,1,MEDICAL,A,5100,8.9,0,0.14,N,4,53718.98402,9,537,,
26,34200,RENT,1,MEDICAL,C,3500,12.84,0,0.1,N,4,66784.61342,3,667,,
24,35000,RENT,7,EDUCATION,A,3500,6.99,0,0.1,N,2,83268.82796,2,832,,
21,35000,RENT,0,MEDICAL,B,3500,9.62,0,0.1,N,2,33766.73692,4,337,,
24,36000,MORTGAGE,5,VENTURE,A,5600,7.9,0,0.16,N,2,56328.48358,6,563,,
25,35000,RENT,6,PERSONAL,B,3500,11.58,0,0.1,N,3,19057.42442,7,190,,
21,35000,RENT,3,DEBTCONSOLIDATION,C,3500,12.53,0,0.1,Y,4,35750.60909,1,357,,
21,35100,RENT,1,EDUCATION,A,3500,5.79,0,0.1,N,2,20750.01926,1,207,,
23,35500,RENT,5,EDUCATION,B,3500,10.99,0,0.1,N,3,57803.00884,1,578,,
25,36000,RENT,3,VENTURE,A,3500,6.62,0,0.1,N,3,59359.30357,1,593,,
21,36000,MORTGAGE,5,MEDICAL,B,1000,12.42,0,0.03,N,2,75177.32872,9,751,,
22,36000,MORTGAGE,3,EDUCATION,A,5250,,0,0.15,N,4,43394.61482,1,433,,
23,30000,RENT,,MEDICAL,B,3500,11.49,1,0.12,N,2,35793.52051,6,357,,
21,38000,RENT,5,VENTURE,B,3500,10.59,0,0.09,N,3,84663.60472,2,846,,
26,36000,MORTGAGE,6,PERSONAL,A,5175,6.03,0,0.14,N,4,67292.56183,8,672,,
22,38400,RENT,4,EDUCATION,C,3500,13.99,0,0.09,N,3,64454.71669,4,644,,
22,39000,RENT,6,MEDICAL,B,3500,9.91,0,0.09,N,4,16155.91401,4,161,,
22,39336,RENT,6,VENTURE,A,3500,5.42,0,0.09,N,2,28320.28214,9,283,,
24,40000,RENT,3,EDUCATION,A,3500,7.9,0,0.09,N,4,47145.15256,8,471,,
23,40000,RENT,2,VENTURE,B,3500,11.99,0,0.09,N,4,6672.372871,9,667,,
23,40000,RENT,4,PERSONAL,C,3500,13.23,0,0.09,Y,2,29581.84613,7,295,,
24,40000,RENT,0,VENTURE,B,3500,,0,0.09,N,2,43982.07419,2,439,,
24,36000,MORTGAGE,8,PERSONAL,D,3600,16.77,0,0.1,Y,2,87352.4031,4,873,,
26,30000,MORTGAGE,,DEBTCONSOLIDATION,A,8000,6.62,1,0.27,N,4,37632.97709,4,376,,
21,41000,RENT,4,EDUCATION,B,3500,10.75,0,0.09,N,3,9818.124781,3,981,,
24,36000,OWN,5,PERSONAL,B,8000,10.65,0,0.22,N,2,92899.86443,6,928,,
25,42000,RENT,0,VENTURE,A,3500,5.42,0,0.08,N,4,85395.06307,9,853,,
23,30000,MORTGAGE,4,DEBTCONSOLIDATION,B,4800,10.65,1,0.16,N,3,51445.94349,3,514,,
26,42000,RENT,3,PERSONAL,B,3500,10.74,0,0.08,N,4,3648.289787,7,364,,
21,42000,RENT,5,DEBTCONSOLIDATION,B,3500,10.37,0,0.08,N,4,75554.9359,4,755,,
22,36000,MORTGAGE,,MEDICAL,A,7275,6.03,0,0.2,N,3,46439.35555,7,464,,
24,36000,MORTGAGE,,HOMEIMPROVEMENT,A,14775,6.62,0,0.41,N,4,23341.19186,5,233,,
24,42000,RENT,1,PERSONAL,A,3500,,0,0.08,N,3,31607.05743,7,316,,
26,36000,MORTGAGE,5,PERSONAL,A,4000,,0,0.11,N,3,58788.91002,1,587,,
26,42500,RENT,2,EDUCATION,C,3500,12.61,0,0.08,Y,4,3965.532729,2,396,,
21,42500,RENT,0,EDUCATION,B,3500,11.86,0,0.08,N,4,26247.83873,3,262,,
22,36000,MORTGAGE,6,MEDICAL,B,1000,9.99,0,0.03,N,3,63313.66384,1,633,,
24,44000,RENT,3,EDUCATION,B,3500,12.69,0,0.08,N,2,29544.8082,2,295,,
23,45000,RENT,3,EDUCATION,B,3500,10.59,0,0.08,N,4,96983.72915,9,969,,
23,39000,RENT,3,EDUCATION,B,3500,11.86,1,0.09,N,4,39310.19332,6,393,,
22,45000,RENT,0,MEDICAL,B,3500,12.53,0,0.08,N,3,79468.91694,1,794,,
25,30000,MORTGAGE,3,HOMEIMPROVEMENT,A,12000,5.99,1,0.4,N,4,61041.23359,2,610,,
25,47000,RENT,6,MEDICAL,B,3500,9.99,0,0.07,N,3,22715.59194,6,227,,
25,36000,OWN,2,MEDICAL,A,8400,5.99,0,0.23,N,3,29973.8514,5,299,,
24,30000,MORTGAGE,4,MEDICAL,D,10000,15.99,1,0.33,Y,2,12604.19877,7,126,,
25,36000,MORTGAGE,0,MEDICAL,A,5600,7.49,0,0.16,N,4,64875.09527,9,648,,
26,36000,MORTGAGE,2,PERSONAL,A,7000,7.49,0,0.19,N,2,96532.23777,3,965,,
23,47496,RENT,7,DEBTCONSOLIDATION,B,3500,12.69,0,0.07,N,3,50524.88998,1,505,,
23,48000,RENT,7,DEBTCONSOLIDATION,C,3500,13.98,0,0.07,N,4,68725.82316,5,687,,
25,48000,RENT,8,DEBTCONSOLIDATION,C,3500,13.16,0,0.07,N,3,54319.58857,5,543,,
23,36000,MORTGAGE,7,EDUCATION,B,2000,11.49,0,0.06,N,2,60341.46178,9,603,,
23,48562,RENT,4,VENTURE,A,3500,8,0,0.07,N,2,82529.00033,6,825,,
22,50000,RENT,2,VENTURE,B,3500,,0,0.07,N,3,63071.02474,6,630,,
22,36000,MORTGAGE,0,EDUCATION,B,12375,,0,0.34,N,3,96394.44717,4,963,,
22,50250,RENT,6,VENTURE,A,3500,7.14,0,0.07,N,4,34988.53335,5,349,,
22,51996,RENT,4,PERSONAL,B,3500,9.62,0,0.07,N,2,8478.498014,3,847,,
23,36000,MORTGAGE,7,EDUCATION,B,11000,,0,0.31,N,3,29319.59891,6,293,,
24,45996,RENT,9,PERSONAL,B,3500,12.21,1,0.08,N,2,14935.58984,9,149,,
24,52000,RENT,4,DEBTCONSOLIDATION,A,3500,7.68,0,0.07,N,2,18547.38352,3,185,,
23,52692,RENT,4,EDUCATION,C,3500,12.23,0,0.07,Y,4,48427.35975,4,484,,
23,36000,MORTGAGE,6,PERSONAL,C,14000,12.99,0,0.39,Y,3,93938.00174,8,939,,
25,54084,RENT,5,HOMEIMPROVEMENT,B,3500,9.25,0,0.06,N,2,45231.61141,8,452,,
21,36000,MORTGAGE,5,PERSONAL,A,2800,6.99,0,0.08,N,2,54967.40746,6,549,,
21,30000,MORTGAGE,5,HOMEIMPROVEMENT,C,13250,13.99,1,0.44,N,3,35944.29472,1,359,,
24,55000,RENT,0,DEBTCONSOLIDATION,B,3500,8.88,0,0.06,N,4,21760.27428,9,217,,
22,55000,RENT,7,MEDICAL,B,3500,9.99,0,0.06,N,3,76347.54359,4,763,,
23,56000,RENT,7,DEBTCONSOLIDATION,C,3500,,0,0.06,Y,3,80892.03751,7,808,,
22,57000,RENT,1,EDUCATION,C,3500,12.61,0,0.06,Y,2,43981.37445,3,439,,
26,51000,RENT,3,DEBTCONSOLIDATION,D,3500,13.24,1,0.07,Y,4,67338.08149,1,673,,
26,58000,RENT,0,HOMEIMPROVEMENT,A,3500,8.59,0,0.06,N,2,14648.9673,7,146,,
24,59000,RENT,5,MEDICAL,A,3500,8.9,0,0.06,N,3,18389.32692,9,183,,
22,60000,RENT,5,VENTURE,A,3500,5.42,0,0.06,N,2,44000.33115,7,440,,
22,36000,MORTGAGE,6,DEBTCONSOLIDATION,A,5975,7.42,0,0.17,N,4,3779.870657,8,377,,
24,60000,RENT,5,EDUCATION,B,3500,11.86,0,0.06,N,4,95100.89961,9,951,,
24,36000,OWN,,EDUCATION,A,6500,5.42,0,0.18,N,2,9033.341868,8,903,,
23,36000,MORTGAGE,7,PERSONAL,A,7200,5.42,0,0.2,N,2,98041.32296,3,980,,
21,36000,MORTGAGE,3,DEBTCONSOLIDATION,A,4000,5.99,0,0.11,N,4,4500.709274,2,450,,
25,36000,MORTGAGE,3,MEDICAL,A,5300,7.49,0,0.15,N,3,87835.44998,3,878,,
25,56400,RENT,2,DEBTCONSOLIDATION,D,3500,15.62,1,0.06,N,4,46428.19095,3,464,,
22,36000,MORTGAGE,1,MEDICAL,A,3500,,0,0.1,N,2,94007.58222,1,940,,
23,63816,RENT,4,EDUCATION,B,3500,9.63,0,0.05,N,3,1616.888879,6,161,,
24,65000,RENT,3,EDUCATION,A,3500,7.74,0,0.05,N,3,48538.57247,1,485,,
25,59000,RENT,3,MEDICAL,D,3500,15.65,1,0.06,N,2,32083.37047,8,320,,
23,36000,MORTGAGE,7,DEBTCONSOLIDATION,B,6400,11.49,0,0.18,N,3,68557.78076,9,685,,
23,30000,MORTGAGE,6,HOMEIMPROVEMENT,A,6725,6.99,1,0.22,N,3,53008.52584,8,530,,
25,66660,RENT,0,EDUCATION,B,3500,,0,0.05,N,3,82920.4516,4,829,,
23,36000,MORTGAGE,4,PERSONAL,C,5000,14.79,0,0.14,N,2,89658.56955,6,896,,
